LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,'default payment next month'
0.141414,0,0.5,0.333333,0.413793,0,0,0,0,0,0,0.146863,0.066552,0.090936,0.160969,0.082229,0.136919,0.000401,0.004989,0.000989,0.00258,0.003261,0.002187,0
0.171717,1,0.166667,0.666667,0.155172,0.2,0.2,0.2,0.2,0.2,0.2,0.299687,0.19058,0.158966,0.296716,0.231993,0.275825,0.008013,0.002909,0.01674,0.016103,0.014067,0.012295,0
0.131313,1,0.333333,0.333333,0.258621,0.2,0.2,0.2,0.2,0.2,0.2,0.19135,0.114476,0.114218,0.20783,0.130201,0.18052,0.002047,0.001296,0.002278,0.002762,0.004647,0.056747,0
0.212121,1,0.333333,0.333333,0.482759,0.2,0.2,0.2,0.2,0.2,0.2,0.298882,0.228217,0.178606,0.314419,0.240098,0.27846,0.008681,0.00443,0.006483,0.009031,0.015239,0.011538,0
0.040404,0,0.333333,0.333333,0.5,0.3,0.3,0,0,0,0,0.179039,0.06622,0.086345,0.160138,0.080648,0.135674,0.005724,0,0,0,0,0,0
0.282828,1,0.333333,0.666667,0.224138,0.2,0.2,0.2,0.2,0.2,0.2,0.397959,0.340009,0.248495,0.429421,0.319391,0.353768,0.013737,0.007422,0.012276,0.012882,0.021804,0.017024,0
0.121212,1,0.5,0.666667,0.103448,0.2,0.2,0.2,0.2,0.2,0.2,0.260802,0.166371,0.145472,0.262266,0.195311,0.241692,0.006067,0.003206,0.004464,0.014493,0.010316,0.008512,0
0.353535,1,0.166667,0.666667,0.137931,0,0,0,0,0,0,0.146519,0.06622,0.086345,0.160138,0.080648,0.135674,0,0,0,0,0,0,1
0,1,0.333333,0.666667,0.465517,0.3,0.4,0.1,0.2,0.2,0.2,0.149292,0.067618,0.091394,0.168162,0.089265,0.14239,0,0.00546,0.001234,0.000448,0.000605,0.000507,0
0.141414,1,0.166667,0.666667,0.155172,0.2,0.2,0.4,0.2,0.2,0.4,0.186158,0.107693,0.097075,0.192776,0.104685,0.153055,0.011448,0.000012,0.033481,0.031884,0,0.009458,1
